id,Label,elevation,slope,aspect,ndvi_before,nbr_before,ndmi_before,evi_before,land_cover,temperature,wind_speed,precipitation,soil_moisture,distance_to_water,distance_to_builtup,distance_to_cropland,ndvi_after,nbr_after,dnbr,longitude,latitude
1_287_0,1,259.0,12.0,279.0,0.78133947,0.5471041,0.28303444,0.5047517,10.0,25.60224,9.884448,0.0,0.13635714,6257.931,2390.9832,1273.4991,0.7664104,0.4842236,0.06288053,26.53094417809558,38.2423588025794
1_288_0,1,381.0,6.0,143.0,0.76204294,0.5434672,0.29026777,0.48065308,10.0,25.60224,9.884448,0.0,0.13635714,4167.517,2371.7083,2250.0,0.71930337,0.47871676,0.06475046,26.5242068134647,38.22457215995384
1_291_0,1,45.0,5.0,90.0,0.2725632,0.22875817,0.05047494,0.21249649,20.0,26.175238,8.418378,0.0,0.06925257,1210.8262,375.89893,715.61163,0.1388262,0.1342389,0.09451928,26.62149435873482,38.37414165475974
1_294_0,1,62.0,6.0,279.0,0.42786193,0.14211938,-0.02961774,0.2685348,30.0,28.033585,6.629438,1.1209449,0.12310767,1802.4983,30.0,84.85281,0.20479299,-0.019155737,0.1612751,26.835203564826855,38.24990465096601
1_305_0,1,69.0,2.0,180.0,0.5513444,0.24907215,0.03044734,0.3549291,40.0,29.311935,3.8002822,1.8422124,0.12349001,1406.165,216.33308,0.0,0.2975151,0.03333923,0.21573292,27.163447969644153,38.19654472308931
1_307_0,1,366.0,5.0,308.0,0.61047584,0.41248786,0.17936252,0.31873506,10.0,26.732214,3.6469858,1.3789132,0.12120175,5250.343,967.47095,247.38634,0.5393134,0.31483525,0.09765261,27.292535875972106,38.47897504841649
1_312_0,1,248.0,20.0,64.0,0.7380807,0.4967759,0.25112748,0.44187877,10.0,27.3476,3.7124271,1.2239693,0.118106045,9291.4795,426.38013,457.9301,0.7197915,0.44078335,0.055992536,27.282025587147928,38.422381185516954
1_314_0,1,115.0,3.0,291.0,0.5317073,0.30354092,0.06461906,0.31970325,30.0,28.963984,6.241103,1.2821177,0.08765777,3709.946,362.4914,318.9044,0.14861943,-0.36602172,0.66956264,26.86565645295852,38.148035697746856
1_317_0,1,298.0,14.0,314.0,0.82871795,0.6679139,0.40172955,0.57967895,10.0,26.323328,8.711996,0.0,0.1046834,4817.686,1663.851,1552.192,0.7965015,0.60894525,0.05896869,26.641436958042277,38.28170501202384
1_319_0,1,315.0,20.0,119.0,0.6925795,0.46830153,0.2472482,0.4166425,10.0,30.02445,3.3748066,1.8473629,0.119394936,9477.009,530.75415,1015.13544,0.64049196,0.39819917,0.07010236,27.40410663425976,37.78879941562746
1_320_0,1,112.0,9.0,270.0,0.7615536,0.48180312,0.21170105,0.32357794,10.0,29.53804,4.159231,1.6023039,0.12302581,4416.933,450.9989,351.141,0.7443946,0.4214373,0.060365837,27.203063673673824,38.060988946715675
1_324_0,1,125.0,17.0,147.0,0.5114258,0.27574027,0.061482817,0.2909297,20.0,25.152441,9.096121,1.0417506,0.09858028,3567.0996,1145.513,1376.7352,0.39575917,0.19554551,0.08019475,26.450095802524828,38.50673299069578
1_326_0,1,226.0,17.0,234.0,0.6833977,0.45730782,0.20441991,0.37669778,10.0,27.582819,6.863036,1.1677511,0.07605974,7486.127,534.1348,690.0,0.62343967,0.42245176,0.034856055,26.77429778856356,38.29275429001851
1_329_0,1,213.0,17.0,267.0,0.6357864,0.326779,0.126615,0.4144093,10.0,25.60224,9.884448,0.0,0.13635714,1770.0,2083.8667,3288.115,0.58395416,0.2632541,0.0635249,26.53633406980032,38.168247791639544
1_32_0,1,147.0,12.0,191.0,0.5148682,0.26666665,0.07798928,0.34718573,30.0,29.876532,3.6942215,1.7019627,0.11131684,3421.7102,465.72525,234.3075,0.2882883,0.08049985,0.18616681,27.294152843483545,37.83164905467996
1_330_0,1,337.0,20.0,268.0,0.53779227,0.27272728,0.10793339,0.34749305,20.0,27.594223,5.692454,1.2086055,0.0752236,5475.8833,664.0783,1681.3387,0.44925666,0.20175818,0.070969105,26.89853479235728,38.30569003010983
1_331_0,1,206.0,13.0,339.0,0.416541,0.19723308,0.051478833,0.33869216,30.0,25.80458,9.37214,0.0,0.09962424,2520.1785,127.27922,1170.0,0.29581875,0.13807325,0.059159834,26.544149412772157,38.34880916374757
1_333_0,1,379.0,4.0,40.0,0.7065744,0.39875212,0.16941315,0.38590193,10.0,28.623755,3.6677933,1.4991127,0.1269807,12436.981,371.0795,134.16408,0.60864425,0.34652346,0.052228678,27.336463493365557,38.28763389289903
1_339_0,1,233.0,13.0,159.0,0.29961652,0.16929053,0.015355841,0.21241166,10.0,30.450994,2.9015148,1.9024214,0.12334856,2324.1772,391.15213,524.78564,0.1554489,0.05909412,0.110196404,27.478217645199635,37.814940390395336
1_345_0,1,124.0,3.0,249.0,0.50182533,0.3085393,0.13257095,0.32207483,10.0,26.30217,3.420451,2.1499228,0.12253618,25000.01,30.0,42.426407,0.3056708,0.1641147,0.14442459,27.478217645199635,38.44421024692106
1_346_0,1,120.0,6.0,0.0,0.44266766,0.32490894,0.1814029,0.32910016,10.0,29.321945,3.2674217,1.6616362,0.092908464,4671.7236,212.13203,182.48288,0.2828418,0.23390993,0.09099899,27.50516710372321,37.99765771918525
1_348_0,1,184.0,2.0,90.0,0.5905307,0.37951264,0.17644796,0.41268227,10.0,27.712631,3.6073084,1.6271383,0.122485556,13006.617,150.0,84.85281,0.35377756,0.18271993,0.1967927,27.389284432071804,38.2911373225071
1_350_0,1,377.0,16.0,200.0,0.5161722,0.33679003,0.14308749,0.36929375,20.0,30.02445,3.3748066,1.7892023,0.119394936,11793.778,324.4996,1530.2941,0.3930287,0.26185432,0.074935704,27.379582627003288,37.7823315455818
1_353_0,1,4.0,0.0,0.0,0.65552515,0.53722113,0.2913342,0.45776987,30.0,27.065668,7.904691,0.0,0.106678724,774.2093,296.98486,60.0,0.20395343,0.20587246,0.33134866,26.654372698133614,38.32078172688304
1_354_0,1,393.0,1.0,180.0,0.5919772,0.44868928,0.25821742,0.4792111,40.0,29.259516,4.561995,1.4661593,0.09632087,5189.5664,1682.4089,0.0,0.28873947,0.15123612,0.29745317,27.117364395568814,38.069073784272746
1_357_0,1,283.0,16.0,67.0,0.8108817,0.5965901,0.3377724,0.4783542,10.0,29.159552,5.1484237,1.3322543,0.08643993,3530.5808,1374.1179,2257.1885,0.75652176,0.554523,0.042067092,27.003368186014058,38.100065661574874
1_35_0,1,151.0,13.0,55.0,0.64479905,0.40166202,0.18475947,0.41064435,10.0,30.02445,3.3748066,1.8473629,0.119394936,8603.726,240.0,305.94116,0.46263954,0.3060507,0.095611334,27.40464562343024,37.76184995710388
1_360_0,1,523.0,18.0,130.0,0.6086956,0.4874372,0.26520303,0.41333959,10.0,26.578323,3.5659773,1.8974668,0.11990992,16785.127,258.06976,931.9335,0.5417783,0.4535267,0.03391049,27.428630641516236,38.354199055452284
1_361_0,1,367.0,17.0,64.0,0.5697342,0.3982197,0.18898684,0.42775634,20.0,27.884405,4.5716577,1.4450917,0.100264944,2954.3528,150.0,1116.4677,0.49468145,0.3261335,0.07208621,27.026275225759093,38.2633793802278
1_367_0,1,361.0,24.0,268.0,0.7543382,0.47609508,0.2241216,0.42015693,10.0,28.854181,3.8694365,1.6643518,0.12256789,4401.931,642.028,4483.9717,0.74341315,0.4527192,0.023375861,27.063734973106875,38.329405553610584
1_369_0,1,594.0,17.0,276.0,0.8008258,0.6021158,0.35943148,0.45775512,10.0,27.884405,4.5716577,1.3039192,0.100264944,8692.445,127.27922,626.4184,0.80181104,0.5808724,0.021243341,26.964291471154837,38.31081042722931
1_372_0,1,305.0,13.0,201.0,0.69980586,0.50334877,0.26192877,0.36155698,10.0,30.02445,3.3748066,1.7892023,0.119394936,9761.394,420.0,502.89163,0.68926215,0.45705417,0.04629462,27.399525226310743,37.78448750226369
1_375_0,1,142.0,4.0,105.0,0.66608083,0.33333334,0.09374098,0.3045767,10.0,28.290949,4.9143434,1.3242773,0.092519365,5711.8296,553.17267,670.8204,0.21386465,-0.11515985,0.44849318,26.95997955779106,38.162049416179116
1_377_0,1,294.0,19.0,335.0,0.8291403,0.6858028,0.4241123,0.57222706,10.0,29.560339,3.5409033,1.1706274,0.091914095,7647.6465,2665.952,2296.715,0.80877614,0.63440585,0.051396966,27.36934183276435,38.04967017413577
